UT,AB
WOS:000412764300005,"An increase in the household debt to GDP ratio predicts lower GDP growth and higher unemployment in the medium run for an unbalanced panel of 30 countries from 1960 to 2012. Low mortgage spreads are associated with an increase in the household debt to GDP ratio and a decline in subsequent GDP growth, highlighting the importance of credit supply shocks. Economic forecasters systematically over-predict GDP growth at the end of household debt booms, suggesting an important role of flawed expectations formation. The negative relation between the change in household debt to GDP and subsequent output growth is stronger for countries with less flexible exchange rate regimes. We also uncover a global household debt cycle that partly predicts the severity of the global growth slowdown after 2007. Countries with a household debt cycle more correlated with the global household debt cycle experience a sharper decline in growth after an increase in domestic household debt."
WOS:000406177000010,"We develop a theory of legislative competition in which voters care about local candidate valence and national party positions that are determined by the parties' median legislators. As long as election outcomes are sufficiently predictable, the only stable equilibria exhibit policy divergence between the parties. If the degree of uncertainty about election outcomes decreases, and if voters place less weight on local candidates' valence, polarization between the parties increases. Furthermore, a systematic electoral shock makes the party favored by the shock more moderate, while the disadvantaged party becomes more extreme. Finally, we examine data on state elections and the ideological positions of state legislatures and find patterns that are consistent with key predictions of our model."
WOS:000383326100010,"This article examines whether firm-level idiosyncratic shocks propagate in production networks. We identify idiosyncratic shocks with the occurrence of natural disasters. We find that affected suppliers impose substantial output losses on their customers, especially when they produce specific inputs. These output losses translate into significant market value losses, and they spill over to other suppliers. Our point estimates are economically large, suggesting that input specificity is an important determinant of the propagation of idiosyncratic shocks in the economy."
WOS:000383326100004,"I present a framework for analyzing decision making under imperfect understanding of correlation structures and causal relations. A decision maker (DM) faces an objective long-run probability distribution p over several variables (including the action taken by previous DMs). The DM is characterized by a subjective causal model, represented by a directed acyclic graph over the set of variable labels. The DM attempts to fit this model to p, resulting in a subjective belief that distorts p by factorizing it according to the graph via the standard Bayesian network formula. As a result of this belief distortion, the DM's evaluation of actions can vary with their long-run frequencies. Accordingly, I define a ""personal equilibrium"" notion of individual behavior. The framework enables simple graphical representations of causal-attribution errors (such as coarseness or reverse causation), and provides tools for checking rationality properties of the DM's behavior. I demonstrate the framework's scope of applications with examples covering diverse areas, from demand for education to public policy. JEL Code: D03."
WOS:000359638900007,"When effort is observable to peers, students may try to avoid social penalties by conforming to prevailing norms. To test this hypothesis, we first consider a natural experiment that introduced a performance leaderboard into computer-based high school courses. The result was a 24 percent performance decline. The decline appears to be driven by a desire to avoid the leaderboard; top performing students prior to the change, those most at risk of appearing on the leaderboard, had a 40 percent performance decline, while poor performing students improved slightly. We next consider a field experiment that offered students complimentary access to an online SAT preparatory course. Sign-up forms differed randomly across students only in whether they said the decision would be kept private from classmates. In nonhonors classes, sign-up was 11 percentage points lower when decisions were public rather than private. Honors class sign-up was unaffected. For students taking honors and nonhonors classes, the response depended on which peers they were with at the time of the offer, and thus to whom their decision would be revealed. When offered the course in a nonhonors class (where peer sign-up rates are low), they were 15 percentage points less likely to sign up if the decision was public. But when offered the course in an honors class (where peer sign-up rates are high), they were 8 percentage points more likely to sign up if the decision was public. Thus, students are highly responsive to their peers are the prevailing norm when they make decisions."
WOS:000359638900008,"We provide a theory of the determination of exchange rates based on capital flows in imperfect financial markets. Capital flows drive exchange rates by altering the balance sheets of financiers that bear the risks resulting from international imbalances in the demand for financial assets. Such alterations to their balance sheets cause financiers to change their required compensation for holding currency risk, thus affecting both the level and volatility of exchange rates. Our theory of exchange rate determination in imperfect financial markets not only helps rationalize the empirical disconnect between exchange rates and traditional macroeconomic fundamentals, it also has real consequences for output and risk sharing. Exchange rates are sensitive to imbalances in financial markets and seldom perform the shock absorption role that is central to traditional theoretical macroeconomic analysis. Our framework is flexible; it accommodates a number of important modeling features within an imperfect financial market model, such as nontradables, production, money, sticky prices or wages, various forms of international pricing-to-market, and unemployment."
WOS:000354733000001,"This article develops a model of unemployment fluctuations. The model keeps the architecture of the general-disequilibrium model of Barro and Grossman (1971) but takes a matching approach to the labor and product markets instead of a disequilibrium approach. On the product and labor markets, both price and tightness adjust to equalize supply and demand. Since there are two equilibrium variables but only one equilibrium condition on each market, a price mechanism is needed to select an equilibrium. We focus on two polar mechanisms: fixed prices and competitive prices. When prices are fixed, aggregate demand affects unemployment as follows. An increase in aggregate demand leads firms to find more customers. This reduces the idle time of their employees and thus increases their labor demand. This in turn reduces unemployment. We combine the predictions of the model and empirical measures of product market tightness, labor market tightness, output, and employment to assess the sources of labor market fluctuations in the United States. First, we find that product market tightness and labor market tightness fluctuate a lot, which implies that the fixed-price equilibrium describes the data better than the competitive-price equilibrium. Next, we find that labor market tightness and employment are positively correlated, which suggests that the labor market fluctuations are mostly due to labor demand shocks and not to labor supply or mismatch shocks. Last, we find that product market tightness and output are positively correlated, which suggests that the labor demand shocks mostly reflect aggregate demand shocks and not technology shocks."
WOS:000346660500004,"We investigate the existence and importance of family welfare cultures, where the receipt of a welfare program by one generation causes increased participation in the next generation. Our context is Norway's disability insurance (DI) system. To overcome the challenge of correlated unobservables across generations, we take advantage of random assignment of judges to DI applicants whose cases are initially denied. Some appeal judges are systematically more lenient, which leads to random variation in the probability a parent will be allowed DI. Using this exogenous variation, we find strong evidence for a causal link across generations: when a parent is allowed DI at the appeal stage, their adult child's participation over the next five years increases by 6 percentage points. This effect grows over time, rising to 12 percentage points after 10 years. Although these findings are specific to our setting, they highlight that welfare reforms can have long-lasting effects on program participation, since any original effect on the current generation could be reinforced by changing the participation behavior of their children as well. The detailed nature of our data allows us to compare the intergenerational transmission with spillover effects in other networks and to explore mechanisms."
WOS:000999692200001,"Recent scholarship has suggested that artificial intelligence (AI) technology and autocratic regimes may be mutually reinforcing. We test for a mutually reinforcing relationship in the context of facial-recognition AI in China. To do so, we gather comprehensive data on AI firms and government procurement contracts, as well as on social unrest across China since the early 2010s. We first show that autocrats benefit from AI: local unrest leads to greater government procurement of facial-recognition AI as a new technology of political control, and increased AI procurement indeed suppresses subsequent unrest. We show that AI innovation benefits from autocrats' suppression of unrest: the contracted AI firms innovate more both for the government and commercial markets and are more likely to export their products; noncontracted AI firms do not experience detectable negative spillovers. Taken together, these results suggest the possibility of sustained AI innovation under the Chinese regime: AI innovation entrenches the regime, and the regime's investment in AI for political control stimulates further frontier innovation."
WOS:000986383900001,"Despite the widespread use of graphs in empirical research, little is known about readers' ability to process the statistical information they are meant to convey (``visual inference''). We study visual inference in the context of regression discontinuity (RD) designs by measuring how accurately readers identify discontinuities in graphs produced from data-generating processes calibrated on 11 published papers from leading economics journals. First, we assess the effects of different graphical representation methods on visual inference using randomized experiments. We find that bin widths and fit lines have the largest effects on whether participants correctly perceive the presence or absence of a discontinuity. Our experimental results allow us to make evidence-based recommendations to practitioners, and we suggest using small bins with no fit lines as a starting point to construct RD graphs. Second, we compare visual inference on graphs constructed using our preferred method with widely used econometric inference procedures. We find that visual inference achieves similar or lower type I error (false positive) rates and complements econometric inference."
WOS:000743312400004,"We experimentally test a theory of risky choice in which the perception of a lottery payoff is noisy due to information processing constraints in the brain. We model perception using the principle of efficient coding, which implies that perception is most accurate for those payoffs that occur most frequently. Across two preregistered laboratory experiments, we manipulate the distribution from which payoffs in the choice set are drawn. In our first experiment, we find that risk taking is more sensitive to payoffs that are presented more frequently. In a follow-up task, we incentivize subjects to classify which of two symbolic numbers is larger. Subjects exhibit higher accuracy and faster response times for numbers they have observed more frequently. In our second experiment, we manipulate the payoff distribution so that efficient coding modulates the strength of valuation biases. As we experimentally increase the frequency of large payoffs, we find that subjects perceive the upside of a risky lottery more accurately and take greater risk. Together, our experimental results suggest that risk taking depends systematically on the payoff distribution to which the decision maker's perceptual system has recently adapted. More broadly, our findings highlight the importance of imprecise and efficient coding in economic decision making."
WOS:000728439200002,"All colonial powers granted concessions to private companies to extract natural resources during the colonial era. In Africa, these concessions were characterized by indirect rule and violence. We use the arbitrarily defined borders of rubber concessions granted in the north of the Congo Free State to examine the causal effects of this form of economic organization on development. We find that historical exposure to the concessions causes significantly worse education, wealth, and health outcomes. To examine mechanisms, we collect survey and experimental data from individuals near a former concession boundary. We find that village chiefs inside the former concessions provide fewer public goods, are less likely to be elected, and are more likely to be hereditary. However, individuals in the concessions are more trusting, more cohesive, and more supportive of sharing income. We interpret our results as reflecting how institutions and culture may act as substitutes in the context of the widespread colonial concession system."
WOS:000612198000006,"We study the causal impact of religiosity through a randomized evaluation of an evangelical Protestant Christian values and theology education program delivered to thousands of ultrapoor Filipino households. Six months after the program ended, treated households have higher religiosity and income; no statistically significant differences in total labor supply, consumption, food security, or life satisfaction; and lower perceived relative economic status. Exploratory analysis suggests that the income treatment effect may operate through increasing grit. Thirty months after the program ended, significant differences in the intensity of religiosity disappear, but those in the treatment group are less likely to be Catholic and more likely to be Protestant, and there is some mixed evidence that their consumption and perceived relative economic status are higher."
WOS:000612198000008,"We examine the impact of criminalizing sex work, exploiting an event in which local officials unexpectedly criminalized sex work in one district in East Java, Indonesia, but not in neighboring districts. We collect data from female sex workers and their clients before and after the change. We find that criminalization increases sexually transmitted infections among female sex workers by 58 percent, measured by biological tests. This is driven by decreased condom access and use. We also find evidence that criminalization decreases earnings among women who left sex work due to criminalization and decreases their ability to meet their children's school expenses while increasing the likelihood that children begin working to supplement household income. Although criminalization has the potential to improve population STI outcomes if the market shrinks permanently, we show that five years postcriminalization the market has rebounded and the probability of STI transmission in the general population is likely to have increased."
WOS:000612198000005,"Macro-finance analyses commonly link firms' borrowing constraints to the liquidation value of physical assets. For U.S. nonfinancial firms, we show that 20% of debt by value is based on such assets (asset-based lending in creditor parlance), whereas 80% is based predominantly on cash flows from firms' operations (cash flow-based lending). A standard borrowing constraint restricts total debt as a function of cash flows measured using operating earnings (earnings-based borrowing constraints). These features shape firm outcomes on the margin: first, cash flows in the form of operating earnings can directly relax borrowing constraints; second, firms are less vulnerable to collateral damage from asset price declines, and fire sale amplification may be mitigated. Taken together, our findings point to new venues for modeling firms' borrowing constraints in macro-finance studies."
WOS:000507362800004,"We use a unique design feature of a survey of Italian firms to study the causal effect of inflation expectations on firms' economic decisions. In the survey, a randomly chosen subset of firms is repeatedly treated with information about recent inflation whereas other firms are not. This information treatment generates exogenous variation in inflation expectations. We find that higher inflation expectations on the part of firms leads them to raise their prices, increase demand for credit, and reduce their employment and capital. However, when policy rates are constrained by the effective lower bound, demand effects are stronger, leading firms to raise their prices more and no longer reduce their employment."
WOS:000489163400007,"We show that most U.S. food, drugstore, and mass-merchandise chains charge nearly uniform prices across stores, despite wide variation in consumer demographics and competition. Demand estimates reveal substantial within-chain variation in price elasticities and suggest that the median chain sacrifices $16 million of annual profit relative to a benchmark of optimal prices. In contrast, differences in average prices between chains are broadly consistent with the optimal benchmark. We discuss a range of explanations for nearly uniform pricing, highlighting managerial inertia and brand image concerns as mechanisms frequently mentioned by industry participants. Relative to our optimal benchmark, uniform pricing may significantly increase the prices paid by poorer households relative to the rich, dampen the response of prices to local economic shocks, alter the analysis of mergers in antitrust, and shift the incidence of intranational trade costs. JEL Codes: D9, L1, L2, M31."
WOS:000451281400006,"A key policy question is: how high an inflation rate should central banks target? This depends crucially on the costs of inflation. An important concern is that high inflation will lead to inefficient price dispersion. Workhorse New Keynesian models imply that this cost of inflation is very large. An increase in steady-state inflation from 0% to 10% yields a welfare loss that is an order of magnitude greater than the welfare loss from business cycle fluctuations in output in these models. We assess this prediction empirically using a new data set on price behavior during the Great Inflation of the late 1970s and early 1980s in the United States. If price dispersion increases rapidly with inflation, we should see the absolute size of price changes increasing with inflation: price changes should become larger as prices drift further from their optimal level at higher inflation rates. We find no evidence that the absolute size of price changes rose during the Great Inflation. This suggests that the standard New Keynesian analysis of the welfare costs of inflation is wrong and its implications for the optimal inflation rate need to be reassessed. We also find that (nonsale) prices have not become more flexible over the past 40 years."
WOS:000423802600006,"We propose a simple model of the international monetary system. We study the world supply and demand for reserve assets denominated in different currencies under a variety of scenarios: a hegemon versus a multipolar world; abundant versus scarce reserve assets; and a gold exchange standard versus a floating rate system. We rationalize the Triffin dilemma, which posits the fundamental instability of the system, as well as the common prediction regarding the natural and beneficial emergence of a multipolar world, the Nurkse warning that a multipolar world is more unstable than a hegemon world, and the Keynesian argument that a scarcity of reserve assets under a gold standard or at the zero lower bound is recessionary. Our analysis is both positive and normative."
WOS:000359638900002,"Experimental tests of dynamically inconsistent time preferences have largely relied on choices over time-dated monetary rewards. Several recent studies have failed to find the standard patterns of present bias. However, such monetary studies contain often-discussed confounds. In this article, we sidestep these confounds and investigate choices over consumption (real effort) in a longitudinal experiment. We pair this effort study with a companion monetary discounting study. We confirm very limited time inconsistency in monetary choices. However, subjects show considerably more present bias in effort. Furthermore, present bias in the allocation of work has predictive power for demand of a meaningfully binding commitment device. Therefore our findings validate a key implication of models of dynamic inconsistency, with corresponding policy implications."
WOS:000359638900006,"Suppose an intermediary provides a benefit to buyers when they purchase from sellers using the intermediary's technology. We develop a model to show that the intermediary would want to restrict sellers from charging buyers more for transactions it intermediates. With this restriction an intermediary can profitably raise demand for its services by eliminating any extra price buyers face for purchasing through the intermediary. We show that this leads to inflated retail prices, excessive adoption of the intermediaries' services, over-investment in benefits to buyers, and a reduction in consumer surplus and sometimes welfare. Competition among intermediaries intensifies these problems by increasing the magnitude of their effects and broadening the circumstances in which they arise. We discuss applications to payment card systems, travel reservation systems, rebate services, and various other intermediaries."
WOS:000354733000006,"Over 130,000 juveniles are detained in the United States each year with 70,000 in detention on any given day, yet little is known about whether such a penalty deters future crime or interrupts social and human capital formation in a way that increases the likelihood of later criminal behavior. This article uses the incarceration tendency of randomly assigned judges as an instrumental variable to estimate causal effects of juvenile incarceration on high school completion and adult recidivism. Estimates based on over 35,000 juvenile offenders over a 10-year period from a large urban county in the United States suggest that juvenile incarceration results in substantially lower high school completion rates and higher adult incarceration rates, including for violent crimes. In an attempt to understand the large effects, we found that incarceration for this population could be very disruptive, greatly reducing the likelihood of ever returning to school and, for those who do return, significantly increasing the likelihood of being classified as having an emotional or behavioral disorder."
WOS:000346660500006,"We analyze the effect of exposure to international trade on earnings and employment of U.S. workers from 1992 through 2007 by exploiting industry shocks to import competition stemming from China's spectacular rise as a manufacturing exporter paired with longitudinal data on individual earnings by employer spanning close to two decades. Individuals who in 1991 worked in manufacturing industries that experienced high subsequent import growth garner lower cumulative earnings, face elevated risk of obtaining public disability benefits, and spend less time working for their initial employers, less time in their initial two-digit manufacturing industries, and more time working elsewhere in manufacturing and outside of manufacturing. Earnings losses are larger for individuals with low initial wages, low initial tenure, and low attachment to the labor force. Low-wage workers churn primarily among manufacturing sectors, where they are repeatedly exposed to subsequent trade shocks. High-wage workers are better able to move across employers with minimal earnings losses and are more likely to move out of manufacturing conditional on separation. These findings reveal that import shocks impose substantial labor adjustment costs that are highly unevenly distributed across workers according to their skill levels and conditions of employment in the pre-shock period."
WOS:000346660500008,"A body of literature suggests that ethnic heterogeneity limits economic growth. This article provides microeconometric evidence on the direct effect of ethnic divisions on productivity. In team production at a plant in Kenya, an upstream worker supplies and distributes flowers to two downstream workers, who assemble them into bunches. The plant uses an essentially random rotation process to assign workers to positions, leading to three types of teams: (i) ethnically homogeneous teams, and teams in which (ii) one or (iii) both down-stream workers belong to a tribe in rivalry with the upstream worker's tribe. I find strong evidence that upstream workers undersupply non-coethnic down-stream workers (vertical discrimination) and shift flowers from non-coethnic to coethnic downstream workers (horizontal discrimination), at the cost of lower own pay and total output. A period of ethnic conflict following Kenya's 2007 election led to a sharp increase in discrimination. In response, the plant began paying the two downstream workers for their combined output (team pay). This led to a modest output reduction in (i) and (iii) teams-as predicted by standard incentive models-but an increase in output in (ii) teams, and overall. Workers' behavior before conflict, during conflict, and under team pay is predicted by a model of taste-based discrimination. My findings suggest that interethnic rivalries lower allocative efficiency in the private sector, that the economic costs of ethnic diversity vary with the political environment, and that in high-cost environments firms are forced to adopt ""second best"" policies to limit discrimination distortions."
WOS:000330451700007,"We study the long-run effects of one of the most ambitious regional development programs in U.S. history: the Tennessee Valley Authority (TVA). Using as controls authorities that were proposed but never approved by Congress, we find that the TVA led to large gains in agricultural employment that were eventually reversed when the program's subsidies ended. Gains in manufacturing employment, by contrast, continued to intensify well after federal transfers had lapsed-a pattern consistent with the presence of agglomeration economies in manufacturing. Because manufacturing paid higher wages than agriculture, this shift raised aggregate income in the TVA region for an extended period of time. Economists have long cautioned that the local gains created by place-based policies may be offset by losses elsewhere. We develop a structured approach to assessing the TVA's aggregate consequences that is applicable to other place-based policies. In our model, the TVA affects the national economy both directly through infrastructure improvements and indirectly through agglomeration economies. The model's estimates suggest that the TVA's direct investments yielded a significant increase in national manufacturing productivity, with benefits exceeding the program's costs. However, the program's indirect effects appear to have been limited: agglomeration gains in the TVA region were offset by losses in the rest of the country. Spillovers in manufacturing appear to be the rare example of a localized market failure that cancels out in the aggregate. JEL Codes: R11, J20, N92, O40."
WOS:000642334600011,"Most convicted offenders serve their sentences under ""community supervision"" at home instead of in prison. Under supervision, however, a technical rule violation, such as not paying fees, can result in incarceration. Rule violations account for 25% of prison admissions nationally and are significantly more common among black offenders. I test whether technical rules are effective tools for identifying likely reoffenders and deterring crime and examine their disparate racial impacts using administrative data from North Carolina. Analysis of a 2011 reform reducing prison punishments for technical violations on probation reveals that 40% of rule breakers would go on to commit crimes if spared harsh punishment. The same reform also closed a 33% black-white gap in incarceration rates without substantially increasing the black-white reoffending gap. These effects combined imply that technical rules target riskier probationers overall but disproportionately affect low-risk black offenders. To justify black probationers' higher violation rate on efficiency grounds, their crimes must be roughly twice as socially costly as that of white probationers. Exploiting the repeat spell nature of the North Carolina data, I estimate a semiparametric competing risks model that allows me to distinguish the effects of particular types of technical rules from unobserved probationer heterogeneity. Rules related to the payment of fees and fines, which are common in many states, are ineffective in tagging likely reoffenders and drive differential effects by race. These findings illustrate the potentially large influence of ostensibly race-neutral policies on racial disparities in the justice system."
WOS:000544015700001,"We document the evolution of market power based on firm-level data for the U.S. economy since 1955. We measure both markups and profitability. In 1980, aggregate markups start to rise from 21% above marginal cost to 61% now. The increase is driven mainly by the upper tail of the markup distribution: the upper percentiles have increased sharply. Quite strikingly, the median is unchanged. In addition to the fattening upper tail of the markup distribution, there is reallocation of market share from low- to high-markup firms. This rise occurs mostly within industry. We also find an increase in the average profit rate from 1% to 8%. Although there is also an increase in overhead costs, the markup increase is in excess of overhead. We discuss the macroeconomic implications of an increase in average market power, which can account for a number of secular trends in the past four decades, most notably the declining labor and capital shares as well as the decrease in labor market dynamism."
WOS:000451281400010,"To answer the question in the title, this article characterizes the socially efficient organization of the market with search frictions. The efficient organization depends on the relative elasticity in the supply between the two sides of the market, the costs of participating in the market and organizing trade, and the (a) symmetry in matching. We also show that the social optimum can be implemented by a realistic market equilibrium where the organizers set up trading sites to direct the other side's search. The results provide a unified explanation for why trade has often been organized by sellers in the goods market, by buyers (firms) in the labor market, and by both sides in the asset market. The analysis also sheds light on how the efficient market organization can change with innovations such as e-commerce and just-in-time production."
WOS:000412764300002,"The labor market increasingly rewards social skills. Between 1980 and 2012, jobs requiring high levels of social interaction grew by nearly 12 percentage points as a share of the U.S. labor force. Math-intensive but less social jobs-including many STEM occupations-shrank by 3.3 percentage points over the same period. Employment and wage growth were particularly strong for jobs requiring high levels of both math skill and social skills. To understand these patterns, I develop a model of team production where workers ""trade tasks"" to exploit their comparative advantage. In the model, social skills reduce coordination costs, allowing workers to specialize and work together more efficiently. The model generates predictions about sorting and the relative returns to skill across occupations, which I investigate using data from the NLSY79 and the NLSY97. Using a comparable set of skill measures and covariates across survey waves, I find that the labor market return to social skills was much greater in the 2000s than in the mid-1980s and 1990s."
WOS:000412764300006,"We present a new channel for the transmission of monetary policy, the deposits channel. We show that when the Fed funds rate rises, banks widen the spreads they charge on deposits, and deposits flow out of the banking system. We present a model where this is due to market power in deposit markets. Consistent with the market power mechanism, deposit spreads increase more and deposits flow out more in concentrated markets. This is true even when we control for lending opportunities by only comparing different branches of the same bank. Since deposits are the main source of liquid assets for households, the deposits channel can explain the observed strong relationship between the liquidity premium and the Fed funds rate. Since deposits are also a uniquely stable funding source for banks, the deposits channel impacts bank lending. When the Fed funds rate rises, banks that raise deposits in concentrated markets contract their lending by more than other banks. Our estimates imply that the deposits channel can account for the entire transmission of monetary policy through bank balance sheets."
WOS:000412764300010,"We present evidence that a significant fraction of commuters on the London Underground do not travel on their optimal route. We show that a strike on the Underground, which forcedmany commuters to experiment with new routes, brought lasting changes in behavior. This effect is stronger for commuters who live in areas where the Underground map is more distorted, which points to the importance of informational imperfections. Information resulting from the strike improved network efficiency. Search costs alone are unlikely to explain the suboptimal behavior."
